Lista informal de Requisitos, desenvolvimento
Requisitos, desenvolvimento
Backlog, desenvolvimento
Backlog Validado, desenvolvimento
Backlog Refinado, desenvolvimento
Backlog da Release, desenvolvimento
Planejamento de Treinamentos, desenvolvimento
Backlog da Sprint, desenvolvimento
Testes de Software, desenvolvimento
Incremento de Software, desenvolvimento
Backlog da Release Refinado, desenvolvimento
Relatório da Retrospectiva, desenvolvimento
Plano de medição, medição
Plano de medição Refinado, medição
Métricas de Processo, medição
Métricas de Código, medição
Documentação da análise das Métricas, medição
Relatório de Desempenho, medição
Relatório Final, medição
Melhoria da qualidade do processo ou do produto, medição
Processo do ciclo de desenvolvimento, processo
Subprocesso Requisitos, processo
Subprocesso Desenvolvimento, processo
Medição e Análise, processo
